332412	Ciconiiformes	CICONIIFORMES	33	1	59010402744433486644604494236978096843	2012-03-02 10:45:07	2012-03-02 10:45:07
332428	Scolopacidae	SCOLOPACIDAE	34	1	287604112441037596506469749054907813891	2012-03-02 10:45:07	2012-03-02 10:45:07
332432	Gruiformes	GRUIFORMES	35	1	106123080164231826019731957393612451409	2012-03-02 10:45:07	2012-03-02 10:45:07
332452	Procellariidae	PROCELLARIIDAE	36	1	66232378528526257005059937830258882840	2012-03-02 10:45:07	2012-03-02 10:45:07
332464	Phoenicopteridae	PHOENICOPTERIDAE	37	1	284624801884882612028700616455606930879	2012-03-02 10:45:07	2012-03-02 10:45:07
332476	Parulidae	PARULIDAE	38	1	29226335489458187031092281324560228962	2012-03-02 10:45:07	2012-03-02 10:45:07
332484	Cuculiformes	CUCULIFORMES	39	1	122282518970125167515345814634993360356	2012-03-02 10:45:07	2012-03-02 10:45:07
332508	Laridae	LARIDAE	40	1	9124506365271557890861319435276788501	2012-03-02 10:45:07	2012-03-02 10:45:07
332516	Hirundinidae	HIRUNDINIDAE	41	1	34580235851869178913587957260956018223	2012-03-02 10:45:07	2012-03-02 10:45:07
332520	Glareolidae	GLAREOLIDAE	42	1	167451540194137225790454115108972401214	2012-03-02 10:45:07	2012-03-02 10:45:07
332528	Falconidae	FALCONIDAE	43	1	94032329217526284144155156872379740598	2012-03-02 10:45:07	2012-03-02 10:45:07
332544	Coraciidae	CORACIIDAE	44	1	252051341233627677778663566594971035555	2012-03-02 10:45:07	2012-03-02 10:45:07
332596	Ciconiidae	CICONIIDAE	45	1	14265599332742874455995943907055994409	2012-03-02 10:45:07	2012-03-02 10:45:07
333783	Ulvales	ULVALES	46	1	293418880819048443294829593343819305433	2012-03-02 10:45:07	2012-03-02 10:45:07
333847	Cladophorales	CLADOPHORALES	47	1	239056813664273012671096373216194291030	2012-03-02 10:45:07	2012-03-02 10:45:07
333871	Klebsormidiaceae	KLEBSORMIDIACEAE	48	1	324241459049516301700362509697898267184	2012-03-02 10:45:07	2012-03-02 10:45:07
333887	Tetrasporaceae	TETRASPORACEAE	49	1	5028186237624969281811497021050571650	2012-03-02 10:45:07	2012-03-02 10:45:07
333947	Chlorococcaceae	CHLOROCOCCACEAE	50	1	227919084481353596109283232926032686923	2012-03-02 10:45:07	2012-03-02 10:45:07
333967	Bryopsidales	BRYOPSIDALES	51	1	98968243287006818736763447514449954784	2012-03-02 10:45:07	2012-03-02 10:45:07
333979	Bryopsidaceae	BRYOPSIDACEAE	52	1	178772333792056160498979873783020945525	2012-03-02 10:45:07	2012-03-02 10:45:07
337852	Anhingidae	ANHINGIDAE	53	1	74748094576238188241636213389331334060	2012-03-02 10:45:07	2012-03-02 10:45:07
338168	Aegithalidae	AEGITHALIDAE	54	1	133581071878378726818450130802255048590	2012-03-02 10:45:07	2012-03-02 10:45:07
341046	Rhizoclonium	RHIZOCLONIUM	55	1	117655369081257728950548184868573414770	2012-03-02 10:45:07	2012-03-02 10:45:07
341078	Spongomorpha	SPONGOMORPHA	56	1	163602690044690640741059217451636757416	2012-03-02 10:45:07	2012-03-02 10:45:07
341470	Entocladia	ENTOCLADIA	57	1	16314203733382666477745875064125319263	2012-03-02 10:45:07	2012-03-02 10:45:07
341682	Stigeoclonium	STIGEOCLONIUM	58	1	96740849723922170820820403532317529430	2012-03-02 10:45:07	2012-03-02 10:45:07
341686	Characium	CHARACIUM	59	1	263879030127492794124706365055105260776	2012-03-02 10:45:07	2012-03-02 10:45:07
341698	Oedogonium	OEDOGONIUM	60	1	326197794557245883556986188672006036935	2012-03-02 10:45:07	2012-03-02 10:45:07
342641	Aphanochaete	APHANOCHAETE	61	1	301856696623723823059305988308230506108	2012-03-02 10:45:07	2012-03-02 10:45:07
342993	Dicranochaete	DICRANOCHAETE	62	1	109089377658076590993558488959712640956	2012-03-02 10:45:07	2012-03-02 10:45:07
344611	Treron	TRERON	63	1	245074021794891442011606365882846670600	2012-03-02 10:45:07	2012-03-02 10:45:07
347361	Surniculus	SURNICULUS	64	1	272275639600650325661387782772477356934	2012-03-02 10:45:07	2012-03-02 10:45:07
348880	Chaetonema	CHAETONEMA	65	1	39526117831751453145393391601746399004	2012-03-02 10:45:07	2012-03-02 10:45:07
351486	Lysurus	LYSURUS	66	1	175497592667956931794703257456284603311	2012-03-02 10:45:07	2012-03-02 10:45:07
363562	Passerina	PASSERINA	67	1	189061571525004554774956614232212055147	2012-03-02 10:45:07	2012-03-02 10:45:07
366423	Xiphorhynchus	XIPHORHYNCHUS	68	1	205790436848560385438587046820700897323	2012-03-02 10:45:07	2012-03-02 10:45:07
366435	Premnornis	PREMNORNIS	69	1	35600668531767026827760480236304337220	2012-03-02 10:45:07	2012-03-02 10:45:07
366443	Pinicola	PINICOLA	70	1	129056370637391833331935272989173524156	2012-03-02 10:45:07	2012-03-02 10:45:07
366451	Calcarius	CALCARIUS	71	1	155220730579248599462773342789564460842	2012-03-02 10:45:07	2012-03-02 10:45:07
366463	Fringilla	FRINGILLA	72	1	38761311565898084936908975373424433674	2012-03-02 10:45:07	2012-03-02 10:45:07
366475	Chilia	CHILIA	73	1	49919035475485415287051999676186409511	2012-03-02 10:45:07	2012-03-02 10:45:07
366483	Linurgus	LINURGUS	74	1	178357640867276099620548546511989557218	2012-03-02 10:45:07	2012-03-02 10:45:07
366495	Dromaius	DROMAIUS	75	1	242263315161701355368009869785227735196	2012-03-02 10:45:07	2012-03-02 10:45:07
366503	Diomedea	DIOMEDEA	76	1	29202301690843594359945556577203072495	2012-03-02 10:45:07	2012-03-02 10:45:07
367794	Anastomus	ANASTOMUS	77	1	52614494950712227330272691561787215593	2012-03-02 10:45:07	2012-03-02 10:45:07
