7494	Chaetophora attenuata	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Chaetophora attenuata Hazen","normalized":"Chaetophora attenuata Hazen","canonical":"Chaetophora attenuata","hybrid":false,"details":[{"genus":{"string":"Chaetophora"},"species":{"string":"attenuata","authorship":"Hazen","basionymAuthorTeam":{"authorTeam":"Hazen","author":["Hazen"]}}}],"parser_run":1,"positions":{"0":["genus",11],"12":["species",21],"22":["author_word",27]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
7774	Microspora tumidula	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Microspora tumidula Hazen","normalized":"Microspora tumidula Hazen","canonical":"Microspora tumidula","hybrid":false,"details":[{"genus":{"string":"Microspora"},"species":{"string":"tumidula","authorship":"Hazen","basionymAuthorTeam":{"authorTeam":"Hazen","author":["Hazen"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",19],"20":["author_word",25]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
7814	Oedogonium capilliforme	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Oedogonium capilliforme K\\u00fctzing","normalized":"Oedogonium capilliforme K\\u00fctzing","canonical":"Oedogonium capilliforme","hybrid":false,"details":[{"genus":{"string":"Oedogonium"},"species":{"string":"capilliforme","authorship":"K\\u00fctzing","basionymAuthorTeam":{"authorTeam":"K\\u00fctzing","author":["K\\u00fctzing"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",23],"24":["author_word",31]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
7850	Oedogonium oblongum	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Oedogonium oblongum Wittrock","normalized":"Oedogonium oblongum Wittrock","canonical":"Oedogonium oblongum","hybrid":false,"details":[{"genus":{"string":"Oedogonium"},"species":{"string":"oblongum","authorship":"Wittrock","basionymAuthorTeam":{"authorTeam":"Wittrock","author":["Wittrock"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",19],"20":["author_word",28]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
7870	Oedogonium suecicum	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Oedogonium suecicum Wittrock","normalized":"Oedogonium suecicum Wittrock","canonical":"Oedogonium suecicum","hybrid":false,"details":[{"genus":{"string":"Oedogonium"},"species":{"string":"suecicum","authorship":"Wittrock","basionymAuthorTeam":{"authorTeam":"Wittrock","author":["Wittrock"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",19],"20":["author_word",28]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
8242	Coleochaete orbicularis	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Coleochaete orbicularis Pringsheim","normalized":"Coleochaete orbicularis Pringsheim","canonical":"Coleochaete orbicularis","hybrid":false,"details":[{"genus":{"string":"Coleochaete"},"species":{"string":"orbicularis","authorship":"Pringsheim","basionymAuthorTeam":{"authorTeam":"Pringsheim","author":["Pringsheim"]}}}],"parser_run":1,"positions":{"0":["genus",11],"12":["species",23],"24":["author_word",34]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
10120	Spirogyra cylindrica	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Spirogyra cylindrica Czurda","normalized":"Spirogyra cylindrica Czurda","canonical":"Spirogyra cylindrica","hybrid":false,"details":[{"genus":{"string":"Spirogyra"},"species":{"string":"cylindrica","authorship":"Czurda","basionymAuthorTeam":{"authorTeam":"Czurda","author":["Czurda"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",20],"21":["author_word",27]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
10124	Spirogyra farlowii	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Spirogyra farlowii Transeau","normalized":"Spirogyra farlowii Transeau","canonical":"Spirogyra farlowii","hybrid":false,"details":[{"genus":{"string":"Spirogyra"},"species":{"string":"farlowii","authorship":"Transeau","basionymAuthorTeam":{"authorTeam":"Transeau","author":["Transeau"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",18],"19":["author_word",27]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
10152	Spirogyra punctata	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Spirogyra punctata Cleve","normalized":"Spirogyra punctata Cleve","canonical":"Spirogyra punctata","hybrid":false,"details":[{"genus":{"string":"Spirogyra"},"species":{"string":"punctata","authorship":"Cleve","basionymAuthorTeam":{"authorTeam":"Cleve","author":["Cleve"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",18],"19":["author_word",24]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
10172	Zygnema coeruleum	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Zygnema coeruleum Czurda","normalized":"Zygnema coeruleum Czurda","canonical":"Zygnema coeruleum","hybrid":false,"details":[{"genus":{"string":"Zygnema"},"species":{"string":"coeruleum","authorship":"Czurda","basionymAuthorTeam":{"authorTeam":"Czurda","author":["Czurda"]}}}],"parser_run":1,"positions":{"0":["genus",7],"8":["species",17],"18":["author_word",24]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
14729	Bulbochaete mirabilis	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Bulbochaete mirabilis Wittrock","normalized":"Bulbochaete mirabilis Wittrock","canonical":"Bulbochaete mirabilis","hybrid":false,"details":[{"genus":{"string":"Bulbochaete"},"species":{"string":"mirabilis","authorship":"Wittrock","basionymAuthorTeam":{"authorTeam":"Wittrock","author":["Wittrock"]}}}],"parser_run":1,"positions":{"0":["genus",11],"12":["species",21],"22":["author_word",30]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
14757	Chaetophora incrassata	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Chaetophora incrassata (Hudson) Hazen","normalized":"Chaetophora incrassata (Hudson) Hazen","canonical":"Chaetophora incrassata","hybrid":false,"details":[{"genus":{"string":"Chaetophora"},"species":{"string":"incrassata","authorship":"(Hudson) Hazen","combinationAuthorTeam":{"authorTeam":"Hazen","author":["Hazen"]},"basionymAuthorTeam":{"authorTeam":"Hudson","author":["Hudson"]}}}],"parser_run":1,"positions":{"0":["genus",11],"12":["species",22],"24":["author_word",30],"32":["author_word",37]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
14765	Gloeotila protogenita	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Gloeotila protogenita K\\u00fctzing","normalized":"Gloeotila protogenita K\\u00fctzing","canonical":"Gloeotila protogenita","hybrid":false,"details":[{"genus":{"string":"Gloeotila"},"species":{"string":"protogenita","authorship":"K\\u00fctzing","basionymAuthorTeam":{"authorTeam":"K\\u00fctzing","author":["K\\u00fctzing"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",21],"22":["author_word",29]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
14789	Microspora wittrockii	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Microspora wittrockii (Wille) Lagerheim","normalized":"Microspora wittrockii (Wille) Lagerheim","canonical":"Microspora wittrockii","hybrid":false,"details":[{"genus":{"string":"Microspora"},"species":{"string":"wittrockii","authorship":"(Wille) Lagerheim","combinationAuthorTeam":{"authorTeam":"Lagerheim","author":["Lagerheim"]},"basionymAuthorTeam":{"authorTeam":"Wille","author":["Wille"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",21],"23":["author_word",28],"30":["author_word",39]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
14809	Stigeoclonium helveticum	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Stigeoclonium helveticum Vischer","normalized":"Stigeoclonium helveticum Vischer","canonical":"Stigeoclonium helveticum","hybrid":false,"details":[{"genus":{"string":"Stigeoclonium"},"species":{"string":"helveticum","authorship":"Vischer","basionymAuthorTeam":{"authorTeam":"Vischer","author":["Vischer"]}}}],"parser_run":1,"positions":{"0":["genus",13],"14":["species",24],"25":["author_word",32]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
15369	Spirogyra setiformis	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Spirogyra setiformis (Roth) K\\u00fctzing","normalized":"Spirogyra setiformis (Roth) K\\u00fctzing","canonical":"Spirogyra setiformis","hybrid":false,"details":[{"genus":{"string":"Spirogyra"},"species":{"string":"setiformis","authorship":"(Roth) K\\u00fctzing","combinationAuthorTeam":{"authorTeam":"K\\u00fctzing","author":["K\\u00fctzing"]},"basionymAuthorTeam":{"authorTeam":"Roth","author":["Roth"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",20],"22":["author_word",26],"28":["author_word",35]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
18754	Ulva rigida	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Ulva rigida C. Agardh","normalized":"Ulva rigida C. Agardh","canonical":"Ulva rigida","hybrid":false,"details":[{"genus":{"string":"Ulva"},"species":{"string":"rigida","authorship":"C. Agardh","basionymAuthorTeam":{"authorTeam":"C. Agardh","author":["C. Agardh"]}}}],"parser_run":1,"positions":{"0":["genus",4],"5":["species",11],"12":["author_word",14],"15":["author_word",21]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
33367	Spirogyra parvula	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Spirogyra parvula (Transeau) Czurda","normalized":"Spirogyra parvula (Transeau) Czurda","canonical":"Spirogyra parvula","hybrid":false,"details":[{"genus":{"string":"Spirogyra"},"species":{"string":"parvula","authorship":"(Transeau) Czurda","combinationAuthorTeam":{"authorTeam":"Czurda","author":["Czurda"]},"basionymAuthorTeam":{"authorTeam":"Transeau","author":["Transeau"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",17],"19":["author_word",27],"29":["author_word",35]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
38176	Ulva scandinavica	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Ulva scandinavica Bliding","normalized":"Ulva scandinavica Bliding","canonical":"Ulva scandinavica","hybrid":false,"details":[{"genus":{"string":"Ulva"},"species":{"string":"scandinavica","authorship":"Bliding","basionymAuthorTeam":{"authorTeam":"Bliding","author":["Bliding"]}}}],"parser_run":1,"positions":{"0":["genus",4],"5":["species",17],"18":["author_word",25]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
332392	Vireonidae	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Vireonidae","normalized":"Vireonidae","canonical":"Vireonidae","hybrid":false,"details":[{"uninomial":{"string":"Vireonidae"}}],"parser_run":1,"positions":{"0":["uninomial",10]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
332396	Upupidae	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Upupidae","normalized":"Upupidae","canonical":"Upupidae","hybrid":false,"details":[{"uninomial":{"string":"Upupidae"}}],"parser_run":1,"positions":{"0":["uninomial",8]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
332408	Coraciiformes	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Coraciiformes","normalized":"Coraciiformes","canonical":"Coraciiformes","hybrid":false,"details":[{"uninomial":{"string":"Coraciiformes"}}],"parser_run":1,"positions":{"0":["uninomial",13]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
332412	Ciconiiformes	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Ciconiiformes","normalized":"Ciconiiformes","canonical":"Ciconiiformes","hybrid":false,"details":[{"uninomial":{"string":"Ciconiiformes"}}],"parser_run":1,"positions":{"0":["uninomial",13]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
332428	Scolopacidae	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Scolopacidae","normalized":"Scolopacidae","canonical":"Scolopacidae","hybrid":false,"details":[{"uninomial":{"string":"Scolopacidae"}}],"parser_run":1,"positions":{"0":["uninomial",12]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
332432	Gruiformes	1.0.10	1	1	{"scientificName":{"parsed":true,"parser_version":"1.0.10","verbatim":"Gruiformes","normalized":"Gruiformes","canonical":"Gruiformes","hybrid":false,"details":[{"uninomial":{"string":"Gruiformes"}}],"parser_run":1,"positions":{"0":["uninomial",10]}}}	2012-06-27 13:44:14	2012-06-27 13:44:14
