Buteogallus meridionalis
Parabuteo unicinctus
Harpyhaliaetus solitarius
Buteo magnirostris
Buteo lineatus
Buteo ridgwayi
Buteo platypterus
Buteo nitidus
Buteo brachyurus
Buteo swainsoni
Buteo albicaudatus
Buteo albonotatus
Buteo solitarius
Buteo jamaicensis
Buteo regalis
Buteo lagopus
Morphnus guianensis
Harpia harpyja
Aquila chrysaetos
Spizaetus tyrannus
Spizaetus ornatus
Spizaetus melanoleucus
Micrastur ruficollis
Micrastur mirandollei
Micrastur semitorquatus
Ibycter americanus
Caracara cheriway
Caracara lutosa
Milvago chimachima
Herpetotheres cachinnans
Falco tinnunculus
Falco sparverius
Falco vespertinus
Falco columbarius
Falco subbuteo
Falco femoralis
Falco rufigularis
Falco deiroleucus
Falco rusticolus
Falco peregrinus
Falco mexicanus
Eurypyga helias
Coturnicops noveboracensis
Micropygia schomburgkii
Laterallus ruber
Laterallus albigularis
Laterallus exilis
Laterallus jamaicensis
Crex crex
Rallus longirostris
Rallus elegans
Rallus limicola
Aramides axillaris
Aramides cajanea
Amaurolimnas concolor
Porzana palmeri
Porzana porzana
Porzana carolina
Porzana sandwichensis
Porzana flaviventer
Neocrex colombiana
Neocrex erythrops
Cyanolimnas cerverai
Pardirallus maculatus
Porphyrio martinica
Porphyrio flavirostris
Gallinula galeata
Fulica atra
Fulica alai
Fulica americana
Fulica caribaea
Heliornis fulica
Aramus guarauna
Grus canadensis
Grus grus
Grus americana
Burhinus bistriatus
Vanellus vanellus
Vanellus chilensis
Pluvialis squatarola
Pluvialis apricaria
Pluvialis dominica
Pluvialis fulva
Charadrius mongolus
Charadrius leschenaultii
Charadrius collaris
Charadrius nivosus
Charadrius wilsonia
Charadrius hiaticula
Charadrius semipalmatus
Charadrius melodus
Charadrius dubius
Charadrius vociferus
Charadrius montanus
Charadrius morinellus
Haematopus ostralegus
Haematopus palliatus
Haematopus bachmani
Himantopus himantopus
Himantopus mexicanus
Recurvirostra americana
Jacana spinosa
Jacana jacana
Xenus cinereus
Actitis hypoleucos
Actitis macularius
Tringa ochropus
Tringa solitaria
Tringa brevipes
Tringa incana
Tringa erythropus
Tringa melanoleuca
Tringa nebularia
Tringa semipalmata
Tringa flavipes
Tringa stagnatilis
Tringa glareola
Tringa totanus
Bartramia longicauda
Numenius minutus
Numenius borealis
Numenius phaeopus
Numenius tahitiensis
Numenius madagascariensis
Numenius tenuirostris
Numenius arquata
Numenius americanus
Limosa limosa
Limosa haemastica
Limosa lapponica
Limosa fedoa
Arenaria interpres
Arenaria melanocephala
Aphriza virgata
Calidris tenuirostris
Calidris canutus
Calidris alba
Calidris pusilla
Calidris mauri
Calidris ruficollis
Calidris minuta
Calidris temminckii
Calidris subminuta
Calidris minutilla
Calidris fuscicollis
Calidris bairdii
Calidris melanotos
Calidris acuminata
Calidris maritima
Calidris ptilocnemis
Calidris alpina
Calidris ferruginea
Calidris himantopus
Eurynorhynchus pygmeus
Limicola falcinellus
Tryngites subruficollis
Philomachus pugnax
Limnodromus griseus
Limnodromus scolopaceus
Lymnocryptes minimus
Gallinago delicata
Gallinago gallinago
Gallinago stenura
Gallinago solitaria
Scolopax rusticola
Scolopax minor
Phalaropus tricolor
Phalaropus lobatus
Phalaropus fulicarius
Glareola pratincola
Glareola maldivarum
Creagrus furcatus
Rissa tridactyla
Rissa brevirostris
Pagophila eburnea
Xema sabini
Chroicocephalus philadelphia
Chroicocephalus cirrocephalus
Chroicocephalus ridibundus
Hydrocoloeus minutus
Rhodostethia rosea
Leucophaeus modestus
Leucophaeus atricilla
Leucophaeus pipixcan
Larus belcheri
Larus crassirostris
Larus heermanni
Larus canus
Larus delawarensis
Larus occidentalis
Larus livens
Larus californicus
Larus argentatus
Larus michahellis
Larus thayeri
Larus glaucoides
Larus fuscus
Larus schistisagus
Larus glaucescens
Larus hyperboreus
Larus marinus
Larus dominicanus
Anous stolidus
Anous minutus
Procelsterna cerulea
Gygis alba
Onychoprion fuscatus
Onychoprion lunatus
Onychoprion anaethetus
Onychoprion aleuticus
Sternula albifrons
Sternula antillarum
Sternula superciliaris
Phaetusa simplex
Gelochelidon nilotica
Hydroprogne caspia
Larosterna inca
Chlidonias niger
Chlidonias leucopterus
Chlidonias hybrida
Sterna dougallii
Sterna hirundo
Sterna paradisaea
Sterna forsteri
Thalasseus maximus
Thalasseus bergii
Thalasseus sandvicensis
Thalasseus elegans
Rynchops niger
Stercorarius skua
Stercorarius maccormicki
Stercorarius pomarinus
Stercorarius parasiticus
Stercorarius longicaudus
Alle alle
Uria aalge
Uria lomvia
Alca torda
Pinguinus impennis
Cepphus grylle
Cepphus columba
Brachyramphus perdix
Brachyramphus marmoratus
Brachyramphus brevirostris
Synthliboramphus hypoleucus
Synthliboramphus craveri
Synthliboramphus antiquus
Ptychoramphus aleuticus
Aethia psittacula
Aethia pusilla
Aethia pygmaea
Aethia cristatella
Cerorhinca monocerata
Fratercula arctica
Fratercula corniculata
Fratercula cirrhata
Pterocles exustus
Columba livia
Patagioenas cayennensis
Patagioenas speciosa
Patagioenas squamosa
Patagioenas leucocephala
Patagioenas flavirostris
Patagioenas inornata
Patagioenas fasciata
Patagioenas caribaea
Patagioenas plumbea
Patagioenas subvinacea
Patagioenas nigrirostris
Streptopelia orientalis
Streptopelia roseogrisea
Streptopelia turtur
Streptopelia decaocto
Streptopelia chinensis
Geopelia striata
Zenaida asiatica
Zenaida aurita
Zenaida auriculata
Zenaida macroura
Zenaida graysoni
Ectopistes migratorius
Columbina inca
Columbina passerina
Columbina minuta
Columbina talpacoti
Claravis pretiosa
Claravis mondetoura
Leptotila verreauxi
Leptotila plumbeiceps
Leptotila wellsi
Leptotila jamaicensis
Leptotila cassini
Geotrygon veraguensis
Geotrygon chrysia
Geotrygon mystacea
Geotrygon albifacies
Geotrygon chiriquensis
Geotrygon carrikeri
Geotrygon lawrencii
Geotrygon costaricensis
Geotrygon goldmani
Geotrygon caniceps
Geotrygon leucometopia
Geotrygon versicolor
Geotrygon violacea
Geotrygon montana
Starnoenas cyanocephala
Melopsittacus undulatus
Psittacula krameri
Pyrrhura picta
Pyrrhura hoffmanni
Myiopsitta monachus
Conuropsis carolinensis
Aratinga holochlora
Aratinga strenua
Aratinga finschi
Aratinga mitrata
Aratinga chloroptera
Aratinga euops
Aratinga nana
Aratinga canicularis
Aratinga pertinax
Ara severus
Ara militaris
Ara ambiguus
Ara chloropterus
Ara macao
Ara tricolor
Ara ararauna
