1	77	11930567	English	\N	\N	2015-08-11 19:12:40	2015-08-11 19:12:40
1	78	11912668	English	\N	\N	2015-08-11 19:12:40	2015-08-11 19:12:40
1	79	11912668	Spanish	\N	\N	2015-08-11 19:12:40	2015-08-11 19:12:40
1	80	11912668	French	\N	\N	2015-08-11 19:12:40	2015-08-11 19:12:40
1	81	11910317	Spanish	\N	\N	2015-08-11 19:12:40	2015-08-11 19:12:40
1	82	11910317	English	\N	\N	2015-08-11 19:12:41	2015-08-11 19:12:41
1	83	11910317	French	\N	\N	2015-08-11 19:12:41	2015-08-11 19:12:41
1	84	11910309	English	\N	\N	2015-08-11 19:12:41	2015-08-11 19:12:41
1	85	11910309	French	\N	\N	2015-08-11 19:12:41	2015-08-11 19:12:41
1	86	11909851	English	\N	\N	2015-08-11 19:12:41	2015-08-11 19:12:41
1	87	11909851	Spanish	\N	\N	2015-08-11 19:12:41	2015-08-11 19:12:41
1	88	11920890	English	\N	\N	2015-08-11 19:12:44	2015-08-11 19:12:44
1	90	11920898	English	\N	\N	2015-08-11 19:12:47	2015-08-11 19:12:47
1	91	11913043	English	\N	\N	2015-08-11 19:12:47	2015-08-11 19:12:47
1	92	16979632	English	\N	\N	2015-08-11 19:12:48	2015-08-11 19:12:48
1	93	16979641	English	\N	\N	2015-08-11 19:12:48	2015-08-11 19:12:48
1	94	16979641	Spanish	\N	\N	2015-08-11 19:12:48	2015-08-11 19:12:48
1	95	11909788	English	\N	\N	2015-08-11 19:12:48	2015-08-11 19:12:48
1	96	11910243	English	\N	\N	2015-08-11 19:12:49	2015-08-11 19:12:49
1	97	11910243	English	\N	\N	2015-08-11 19:12:49	2015-08-11 19:12:49
1	98	11910243	French	\N	\N	2015-08-11 19:12:49	2015-08-11 19:12:49
1	99	11910249	English	\N	\N	2015-08-11 19:12:49	2015-08-11 19:12:49
1	100	11913086	Spanish	\N	\N	2015-08-11 19:12:50	2015-08-11 19:12:50
1	101	11913086	English	\N	\N	2015-08-11 19:12:50	2015-08-11 19:12:50
1	102	11909247	English	\N	\N	2015-08-11 19:12:51	2015-08-11 19:12:51
1	105	11913120	English	\N	\N	2015-08-11 19:12:52	2015-08-11 19:12:52
1	107	11913050	English	\N	\N	2015-08-11 19:12:52	2015-08-11 19:12:52
1	108	16979537	English	\N	\N	2015-08-11 19:12:52	2015-08-11 19:12:52
1	109	16981443	English	\N	\N	2015-08-11 19:12:53	2015-08-11 19:12:53
1	110	16981447	English	\N	\N	2015-08-11 19:12:53	2015-08-11 19:12:53
1	111	16979879	English	\N	\N	2015-08-11 19:12:53	2015-08-11 19:12:53
