1	406022	2467257	\N	\N	genus	2467257	\N	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Kozlowia	2362377|2362754|2363138|2363139|2363274|2467257	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726863	6848256	\N	\N	species	6848256	\N	Animalia|Chordata|Aves|Ciconiiformes|Falconidae|Falco|Falco rupicoloides	2362377|2362754|2363138|2363161|2363277|2422589|6848256	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726867	6848260	\N	\N	species	6848260	\N	Animalia|Chordata|Aves|Ciconiiformes|Falconidae|Falco|Falco vespertinus	2362377|2362754|2363138|2363161|2363277|2422589|6848260	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726871	6848264	\N	\N	species	6848264	\N	Animalia|Chordata|Aves|Ciconiiformes|Falconidae|Phalcoboenus|Phalcoboenus australis	2362377|2362754|2363138|2363161|2363277|2493250|6848264	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726875	6848268	\N	\N	species	6848268	\N	Animalia|Chordata|Aves|Ciconiiformes|Falconidae|Milvago|Milvago chimango	2362377|2362754|2363138|2363161|2363277|2493251|6848268	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726879	6848272	\N	\N	species	6848272	\N	Animalia|Chordata|Aves|Ciconiiformes|Falconidae|Micrastur|Micrastur plumbeus	2362377|2362754|2363138|2363161|2363277|2490596|6848272	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726883	6848276	\N	\N	species	6848276	\N	Animalia|Chordata|Aves|Ciconiiformes|Falconidae|Polihierax|Polihierax semitorquatus	2362377|2362754|2363138|2363161|2363277|2493253|6848276	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726887	6848280	\N	\N	species	6848280	\N	Animalia|Chordata|Aves|Ciconiiformes|Falconidae|Microhierax|Microhierax latifrons	2362377|2362754|2363138|2363161|2363277|2442420|6848280	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726891	6848284	\N	\N	species	6848284	\N	Animalia|Chordata|Aves|Craciformes|Megapodiidae|Leipoa|Leipoa ocellata	2362377|2362754|2363138|2363252|2363253|2493255|6848284	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726895	6848288	\N	\N	species	6848288	\N	Animalia|Chordata|Aves|Craciformes|Megapodiidae|Aepypodius|Aepypodius arfakianus	2362377|2362754|2363138|2363252|2363253|2493258|6848288	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726899	6848292	\N	\N	species	6848292	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Ortalis|Ortalis canicollis	2362377|2362754|2363138|2363252|2363289|2414940|6848292	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726903	6848296	\N	\N	species	6848296	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Ortalis|Ortalis ruficauda	2362377|2362754|2363138|2363252|2363289|2414940|6848296	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726907	6848300	\N	\N	species	6848300	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Penelope|Penelope argyrotis	2362377|2362754|2363138|2363252|2363289|2414939|6848300	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726911	6848304	\N	\N	species	6848304	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Penelope|Penelope marail	2362377|2362754|2363138|2363252|2363289|2414939|6848304	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726915	6848308	\N	\N	species	6848308	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Penelope|Penelope ortoni	2362377|2362754|2363138|2363252|2363289|2414939|6848308	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726919	6848312	\N	\N	species	6848312	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Penelope|Penelope superciliaris	2362377|2362754|2363138|2363252|2363289|2414939|6848312	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726923	6848316	\N	\N	species	6848316	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Chamaepetes|Chamaepetes goudotii	2362377|2362754|2363138|2363252|2363289|2417628|6848316	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726927	6848320	\N	\N	species	6848320	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Nothocrax|Nothocrax urumutum	2362377|2362754|2363138|2363252|2363289|2490460|6848320	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726931	6848324	\N	\N	species	6848324	\N	Animalia|Chordata|Aves|Craciformes|Cracidae|Crax|Crax daubentoni	2362377|2362754|2363138|2363252|2363289|2417624|6848324	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726935	6848328	\N	\N	species	6848328	\N	Animalia|Chordata|Aves|Galliformes|Phasianidae|Bonasa|Bonasa umbellus	2362377|2362754|2363138|2363215|2363216|2442306|6848328	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
1	726939	6848332	\N	\N	species	6848332	\N	Animalia|Chordata|Aves|Galliformes|Phasianidae|Tympanuchus|Tympanuchus phasianellus	2362377|2362754|2363138|2363215|2363216|2413550|6848332	2012-07-10 12:14:56	2012-07-10 12:14:56	1	\N	\N
