56	Garza ganadera	21084529018386880768160201111099837491	2015-08-11 19:12:33	2015-08-11 19:12:33
57	Cattle Egret	87707411165914419508739516435818581805	2015-08-11 19:12:33	2015-08-11 19:12:33
58	Western Cattle Egret	19417988266090597419185881108618160753	2015-08-11 19:12:33	2015-08-11 19:12:33
59	Héron garde-boeufs	22951101997708240641148215555073614627	2015-08-11 19:12:33	2015-08-11 19:12:33
60	Pato chillón	91819933634473764089120204553687309669	2015-08-11 19:12:34	2015-08-11 19:12:34
61	garrot à oeil d'or	173738628542558307030159895579008225582	2015-08-11 19:12:34	2015-08-11 19:12:34
62	Common Goldeneye	270132535853423202833668756668868122625	2015-08-11 19:12:34	2015-08-11 19:12:34
63	Thick-knees	13548276818107708445013046616694139472	2015-08-11 19:12:34	2015-08-11 19:12:34
64	Eurasian Stone-curlew	8445623208241552199788963651806655355	2015-08-11 19:12:35	2015-08-11 19:12:35
65	Common Buzzard	51350180614292795842827177009829674993	2015-08-11 19:12:35	2015-08-11 19:12:35
66	Mangrove Black-Hawk	174499753255359374943108522846197915761	2015-08-11 19:12:37	2015-08-11 19:12:37
67	Lapland Longspur	325804669819153523880525214412110230269	2015-08-11 19:12:39	2015-08-11 19:12:39
68	Escribano ártico	78401182137196092440497200398592914512	2015-08-11 19:12:39	2015-08-11 19:12:39
69	bruant lapon	182471160896866782091829854225281432328	2015-08-11 19:12:39	2015-08-11 19:12:39
70	Stints	254275569464121928502980253981519634800	2015-08-11 19:12:39	2015-08-11 19:12:39
71	Sanderling	242264158294541329327445349761175741479	2015-08-11 19:12:39	2015-08-11 19:12:39
72	Playero blanco	179508825962897404881939836470763835820	2015-08-11 19:12:39	2015-08-11 19:12:39
73	Bécasseau sanderling	234773674786778035595702083631474509990	2015-08-11 19:12:39	2015-08-11 19:12:39
74	Playero dorso rojo	76394247498119802546507167247745877185	2015-08-11 19:12:39	2015-08-11 19:12:39
75	Dunlin	281652314805317030381489748915672406477	2015-08-11 19:12:39	2015-08-11 19:12:39
76	Bécasseau variable	158147267927219631401238222113659841969	2015-08-11 19:12:39	2015-08-11 19:12:39
77	red knot	103033261198347693009269185688558915970	2015-08-11 19:12:40	2015-08-11 19:12:40
78	Stilt Sandpiper	198991446941145834202907819278532315429	2015-08-11 19:12:40	2015-08-11 19:12:40
79	Playero zancón	192647018657919461034366971150974757015	2015-08-11 19:12:40	2015-08-11 19:12:40
80	Bécasseau à échasses	43702421401295694179732258020695129537	2015-08-11 19:12:40	2015-08-11 19:12:40
81	Playero pectoral	73873880286406002988651214351028130231	2015-08-11 19:12:40	2015-08-11 19:12:40
82	Pectoral Sandpiper	287633042595434152058466249172214282690	2015-08-11 19:12:41	2015-08-11 19:12:41
83	Bécasseau à poitrine cendrée	250771137594832770624604084766986066487	2015-08-11 19:12:41	2015-08-11 19:12:41
84	Great Knot	218575491742826318159288613384958614163	2015-08-11 19:12:41	2015-08-11 19:12:41
85	Bécasseau de l'Anadyr	75162822764848888741868414107864467756	2015-08-11 19:12:41	2015-08-11 19:12:41
86	Gambel's Quail	231962955894583314208194787927711854461	2015-08-11 19:12:41	2015-08-11 19:12:41
87	Codorniz chiquiri	3915735668936164300504335956980227861	2015-08-11 19:12:41	2015-08-11 19:12:41
88	Scarlet-banded Barbet	211232327093131875338265503336016609187	2015-08-11 19:12:44	2015-08-11 19:12:44
89	Goldfinches	186296463643077088073908894763064865784	2015-08-11 19:12:46	2015-08-11 19:12:46
90	Piaui Woodpecker	28952701282043247542666613488878688155	2015-08-11 19:12:47	2015-08-11 19:12:47
91	Philippine Dwarf Kingfisher	280045231928837318074229404428325690646	2015-08-11 19:12:47	2015-08-11 19:12:47
92	Kioea	314953174563519028440595878372851383545	2015-08-11 19:12:48	2015-08-11 19:12:48
93	Wrentit	263880745366444839210297935211255321241	2015-08-11 19:12:48	2015-08-11 19:12:48
94	Camea	267163301743181647888377999603100193755	2015-08-11 19:12:48	2015-08-11 19:12:48
95	Sickle-winged Guan	203191600051755989985620735515039141464	2015-08-11 19:12:48	2015-08-11 19:12:48
96	Greater Sand-Plover	245982620192621428803523386681949744894	2015-08-11 19:12:49	2015-08-11 19:12:49
