25643	23794	39068241	2	0	8	2015-08-21 11:27:08	2015-08-21 11:27:08
25644	23795	39068241	4	9	16	2015-08-21 11:27:08	2015-08-21 11:27:08
25645	193	39068241	7	26	2	2015-08-21 11:27:08	2015-08-21 11:27:08
25646	23794	39068242	2	0	8	2015-08-21 11:27:08	2015-08-21 11:27:08
25647	23796	39068242	4	9	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25648	23797	39068242	7	20	3	2015-08-21 11:27:08	2015-08-21 11:27:08
25649	23794	39068243	2	0	8	2015-08-21 11:27:08	2015-08-21 11:27:08
25650	23798	39068243	4	9	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25651	23799	39068243	7	19	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25652	23794	39068244	2	0	8	2015-08-21 11:27:08	2015-08-21 11:27:08
25653	23800	39068244	4	9	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25654	193	39068244	7	19	2	2015-08-21 11:27:08	2015-08-21 11:27:08
25655	23794	39068245	2	0	8	2015-08-21 11:27:08	2015-08-21 11:27:08
25656	23800	39068245	4	9	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25657	193	39068245	7	19	2	2015-08-21 11:27:08	2015-08-21 11:27:08
25658	23801	39068245	6	22	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25659	23800	39068245	5	29	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25660	23802	39068246	2	0	11	2015-08-21 11:27:08	2015-08-21 11:27:08
25661	23803	39068246	4	12	8	2015-08-21 11:27:08	2015-08-21 11:27:08
25662	23804	39068246	7	22	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25663	23805	39068246	7	31	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25664	23806	39068247	2	0	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25665	23807	39068247	4	10	8	2015-08-21 11:27:08	2015-08-21 11:27:08
25666	23808	39068247	7	20	4	2015-08-21 11:27:08	2015-08-21 11:27:08
25667	23799	39068247	7	26	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25668	23809	39068248	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25669	23810	39068248	4	11	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25670	23811	39068248	7	19	5	2015-08-21 11:27:08	2015-08-21 11:27:08
25671	23812	39068248	7	26	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25672	23809	39068249	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25673	690	39068249	4	11	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25674	23813	39068249	7	20	4	2015-08-21 11:27:08	2015-08-21 11:27:08
25675	23814	39068249	7	26	12	2015-08-21 11:27:08	2015-08-21 11:27:08
25676	23801	39068249	6	39	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25677	690	39068249	5	46	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25678	23809	39068250	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25679	690	39068250	4	11	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25680	23813	39068250	7	20	4	2015-08-21 11:27:08	2015-08-21 11:27:08
25681	23814	39068250	7	26	12	2015-08-21 11:27:08	2015-08-21 11:27:08
25682	23801	39068250	6	39	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25683	23815	39068250	5	46	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25684	23816	39068250	7	55	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25685	23814	39068250	7	63	12	2015-08-21 11:27:08	2015-08-21 11:27:08
25686	23809	39068251	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25687	23817	39068251	4	11	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25688	23818	39068251	7	21	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25689	23809	39068252	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25690	23819	39068252	4	11	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25691	23820	39068252	7	20	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25692	23821	39068252	7	28	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25693	23809	39068253	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25694	23822	39068253	4	11	8	2015-08-21 11:27:08	2015-08-21 11:27:08
25695	23823	39068253	7	21	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25696	23824	39068253	7	29	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25697	23809	39068254	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25698	23825	39068254	4	11	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25699	23799	39068254	7	20	7	2015-08-21 11:27:08	2015-08-21 11:27:08
25700	23814	39068254	7	29	12	2015-08-21 11:27:08	2015-08-21 11:27:08
25701	23826	39068254	7	44	5	2015-08-21 11:27:08	2015-08-21 11:27:08
25702	23809	39068255	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25703	23827	39068255	4	11	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25704	193	39068255	7	22	2	2015-08-21 11:27:08	2015-08-21 11:27:08
25705	23828	39068255	7	26	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25706	23809	39068256	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25707	23829	39068256	4	11	9	2015-08-21 11:27:08	2015-08-21 11:27:08
25708	23830	39068256	7	21	5	2015-08-21 11:27:08	2015-08-21 11:27:08
25709	23826	39068256	7	29	5	2015-08-21 11:27:08	2015-08-21 11:27:08
25710	23809	39068257	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25711	23831	39068257	4	11	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25712	23821	39068257	7	22	6	2015-08-21 11:27:08	2015-08-21 11:27:08
25713	23809	39068258	2	0	10	2015-08-21 11:27:08	2015-08-21 11:27:08
25714	23832	39068258	4	11	7	2015-08-21 11:27:08	2015-08-21 11:27:08
