7494	Chaetophora attenuata	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Chaetophora attenuata Hazen","normalized":"Chaetophora attenuata Hazen","canonical":"Chaetophora attenuata","hybrid":false,"details":[{"genus":{"string":"Chaetophora"},"species":{"string":"attenuata","authorship":"Hazen","basionymAuthorTeam":{"authorTeam":"Hazen","author":["Hazen"]}}}],"parser_run":1,"positions":{"0":["genus",11],"12":["species",21],"22":["author_word",27]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
7774	Microspora tumidula	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Microspora tumidula Hazen","normalized":"Microspora tumidula Hazen","canonical":"Microspora tumidula","hybrid":false,"details":[{"genus":{"string":"Microspora"},"species":{"string":"tumidula","authorship":"Hazen","basionymAuthorTeam":{"authorTeam":"Hazen","author":["Hazen"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",19],"20":["author_word",25]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
7814	Oedogonium capilliforme	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Oedogonium capilliforme Kützing","normalized":"Oedogonium capilliforme Kützing","canonical":"Oedogonium capilliforme","hybrid":false,"details":[{"genus":{"string":"Oedogonium"},"species":{"string":"capilliforme","authorship":"Kützing","basionymAuthorTeam":{"authorTeam":"Kützing","author":["Kützing"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",23],"24":["author_word",31]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
7850	Oedogonium oblongum	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Oedogonium oblongum Wittrock","normalized":"Oedogonium oblongum Wittrock","canonical":"Oedogonium oblongum","hybrid":false,"details":[{"genus":{"string":"Oedogonium"},"species":{"string":"oblongum","authorship":"Wittrock","basionymAuthorTeam":{"authorTeam":"Wittrock","author":["Wittrock"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",19],"20":["author_word",28]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
7870	Oedogonium suecicum	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Oedogonium suecicum Wittrock","normalized":"Oedogonium suecicum Wittrock","canonical":"Oedogonium suecicum","hybrid":false,"details":[{"genus":{"string":"Oedogonium"},"species":{"string":"suecicum","authorship":"Wittrock","basionymAuthorTeam":{"authorTeam":"Wittrock","author":["Wittrock"]}}}],"parser_run":1,"positions":{"0":["genus",10],"11":["species",19],"20":["author_word",28]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
8242	Coleochaete orbicularis	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Coleochaete orbicularis Pringsheim","normalized":"Coleochaete orbicularis Pringsheim","canonical":"Coleochaete orbicularis","hybrid":false,"details":[{"genus":{"string":"Coleochaete"},"species":{"string":"orbicularis","authorship":"Pringsheim","basionymAuthorTeam":{"authorTeam":"Pringsheim","author":["Pringsheim"]}}}],"parser_run":1,"positions":{"0":["genus",11],"12":["species",23],"24":["author_word",34]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
10120	Spirogyra cylindrica	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Spirogyra cylindrica Czurda","normalized":"Spirogyra cylindrica Czurda","canonical":"Spirogyra cylindrica","hybrid":false,"details":[{"genus":{"string":"Spirogyra"},"species":{"string":"cylindrica","authorship":"Czurda","basionymAuthorTeam":{"authorTeam":"Czurda","author":["Czurda"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",20],"21":["author_word",27]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
10124	Spirogyra farlowii	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Spirogyra farlowii Transeau","normalized":"Spirogyra farlowii Transeau","canonical":"Spirogyra farlowii","hybrid":false,"details":[{"genus":{"string":"Spirogyra"},"species":{"string":"farlowii","authorship":"Transeau","basionymAuthorTeam":{"authorTeam":"Transeau","author":["Transeau"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",18],"19":["author_word",27]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
10152	Spirogyra punctata	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Spirogyra punctata Cleve","normalized":"Spirogyra punctata Cleve","canonical":"Spirogyra punctata","hybrid":false,"details":[{"genus":{"string":"Spirogyra"},"species":{"string":"punctata","authorship":"Cleve","basionymAuthorTeam":{"authorTeam":"Cleve","author":["Cleve"]}}}],"parser_run":1,"positions":{"0":["genus",9],"10":["species",18],"19":["author_word",24]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
10172	Zygnema coeruleum	3.1.4	1	1	{"scientificName":{"parsed":true,"parser_version":"3.1.4","verbatim":"Zygnema coeruleum Czurda","normalized":"Zygnema coeruleum Czurda","canonical":"Zygnema coeruleum","hybrid":false,"details":[{"genus":{"string":"Zygnema"},"species":{"string":"coeruleum","authorship":"Czurda","basionymAuthorTeam":{"authorTeam":"Czurda","author":["Czurda"]}}}],"parser_run":1,"positions":{"0":["genus",7],"8":["species",17],"18":["author_word",24]}}}	2015-04-21 12:24:58	2015-04-21 12:24:58
